ID,Full Name,Email,Phone Number,Date of Birth,Class,Math Marks,Science Marks,English Marks,History Marks,Geography Marks
1001,Aarav Sharma,aarav.sharma@example.com,9876543210,01-04-2012,1,,,,,
1002,Vihaan Patel,vihaan.patel@example.com,9876543211,02-05-2012,1,,,,,
1003,Aditya Singh,aditya.singh@example.com,9876543212,03-06-2012,1,,,,,
1004,Arjun Gupta,arjun.gupta@example.com,9876543213,04-07-2012,1,,,,,
1005,Reyansh Verma,reyansh.verma@example.com,9876543214,05-08-2012,1,,,,,
1006,Krishna Reddy,krishna.reddy@example.com,9876543215,06-09-2012,1,,,,,
1007,Anaya Mehta,anaya.mehta@example.com,9876543216,07-10-2012,1,,,,,
1008,Navya Rao,navya.rao@example.com,9876543217,08-11-2012,1,,,,,
1009,Diya Joshi,diya.joshi@example.com,9876543218,09-12-2012,1,,,,,
1010,Viha Kumar,viha.kumar@example.com,9876543219,10-01-2012,1,,,,,
1011,Aarav Sharma,aarav.sharma@example.com,9876543220,01-04-2011,2,,,,,
1012,Vihaan Patel,vihaan.patel@example.com,9876543221,02-05-2011,2,,,,,
1013,Aditya Singh,aditya.singh@example.com,9876543222,03-06-2011,2,,,,,
1014,Arjun Gupta,arjun.gupta@example.com,9876543223,04-07-2011,2,,,,,
1015,Reyansh Verma,reyansh.verma@example.com,9876543224,05-08-2011,2,,,,,
1016,Krishna Reddy,krishna.reddy@example.com,9876543225,06-09-2011,2,,,,,
1017,Anaya Mehta,anaya.mehta@example.com,9876543226,07-10-2011,2,,,,,
1018,Navya Rao,navya.rao@example.com,9876543227,08-11-2011,2,,,,,
1019,Diya Joshi,diya.joshi@example.com,9876543228,09-12-2011,2,,,,,
1020,Viha Kumar,viha.kumar@example.com,9876543229,10-01-2011,2,,,,,
1021,Aarav Sharma,aarav.sharma@example.com,9876543230,01-04-2010,3,,,,,
1022,Vihaan Patel,vihaan.patel@example.com,9876543231,02-05-2010,3,,,,,
1023,Aditya Singh,aditya.singh@example.com,9876543232,03-06-2010,3,,,,,
1024,Arjun Gupta,arjun.gupta@example.com,9876543233,04-07-2010,3,,,,,
1025,Reyansh Verma,reyansh.verma@example.com,9876543234,05-08-2010,3,,,,,
1026,Krishna Reddy,krishna.reddy@example.com,9876543235,06-09-2010,3,,,,,
1027,Anaya Mehta,anaya.mehta@example.com,9876543236,07-10-2010,3,,,,,
1028,Navya Rao,navya.rao@example.com,9876543237,08-11-2010,3,,,,,
1029,Diya Joshi,diya.joshi@example.com,9876543238,09-12-2010,3,,,,,
1030,Viha Kumar,viha.kumar@example.com,9876543239,10-01-2010,3,,,,,
1031,Aarav Sharma,aarav.sharma@example.com,9876543240,01-04-2009,4,,,,,
1032,Vihaan Patel,vihaan.patel@example.com,9876543241,02-05-2009,4,,,,,
1033,Aditya Singh,aditya.singh@example.com,9876543242,03-06-2009,4,,,,,
1034,Arjun Gupta,arjun.gupta@example.com,9876543243,04-07-2009,4,,,,,
1035,Reyansh Verma,reyansh.verma@example.com,9876543244,05-08-2009,4,,,,,
1036,Krishna Reddy,krishna.reddy@example.com,9876543245,06-09-2009,4,,,,,
1037,Anaya Mehta,anaya.mehta@example.com,9876543246,07-10-2009,4,,,,,
1038,Navya Rao,navya.rao@example.com,9876543247,08-11-2009,4,,,,,
1039,Diya Joshi,diya.joshi@example.com,9876543248,09-12-2009,4,,,,,
1040,Viha Kumar,viha.kumar@example.com,9876543249,10-01-2009,4,,,,,
1041,Aarav Sharma,aarav.sharma@example.com,9876543250,01-04-2008,5,,,,,
1042,Vihaan Patel,vihaan.patel@example.com,9876543251,02-05-2008,5,,,,,
1043,Aditya Singh,aditya.singh@example.com,9876543252,03-06-2008,5,,,,,
1044,Arjun Gupta,arjun.gupta@example.com,9876543253,04-07-2008,5,,,,,
1045,Reyansh Verma,reyansh.verma@example.com,9876543254,05-08-2008,5,,,,,
1046,Krishna Reddy,krishna.reddy@example.com,9876543255,06-09-2008,5,,,,,
1047,Anaya Mehta,anaya.mehta@example.com,9876543256,07-10-2008,5,,,,,
1048,Navya Rao,navya.rao@example.com,9876543257,08-11-2008,5,,,,,
1049,Diya Joshi,diya.joshi@example.com,9876543258,09-12-2008,5,,,,,
1050,Viha Kumar,viha.kumar@example.com,9876543259,10-01-2008,5,,,,,
1051,Aarav Sharma,aarav.sharma@example.com,9876543260,01-04-2007,6,,,,,
1052,Vihaan Patel,vihaan.patel@example.com,9876543261,02-05-2007,6,,,,,
1053,Aditya Singh,aditya.singh@example.com,9876543262,03-06-2007,6,,,,,
1054,Arjun Gupta,arjun.gupta@example.com,9876543263,04-07-2007,6,,,,,
